gender,name,licensenumber,birthday,epid,job
F,Lisa Maldonado,N2179 24363 61896,1983-03-17,Bo-7f1caab0,Bookseller
M,Matthew Schneider,5175973,2022-05-13,Re-cf7f66ed,Recycling officer
F,Erica Elliott,54-989-8014,2018-07-20,Co-c524b5d9,Commissioning editor
M,Charles Brown,0673233J,1989-09-23,Ha-a8f2f46d,Haematologist
F,Sara Jackson,H1361305,1991-12-15,Se-3f5834f1,"Secretary, company"
F,Peggy Berry,N7518 50107 42517,1937-01-19,Pa-7f8368ba,Patent attorney
M,Jeffrey Miller,QP939946,1939-12-19,Pr-a1c13f47,"Presenter, broadcasting"
M,John Sanchez,07 732 977,2016-05-28,Tr-6e8a6861,Trade union research officer
M,Ronald Mercado,E181244125,1960-03-13,La-8c637a51,Land
F,Brittany Erickson,R540902,1945-01-10,Ar-c7b9a1b3,Armed forces technical officer
F,Margaret Cohen,PN467959,1957-04-22,Te-3959ab08,"Teacher, adult education"
M,Marvin Morgan,F802-4533-3933,2018-03-28,Da-82207720,Dance movement psychotherapist
M,Casey Hall,133662864565,1909-12-20,Re-f5839654,Retail banker
F,Michele Weber,X896-9819-9933-84,1985-11-06,Co-b1f4eb26,Contractor
M,Omar Patterson,Q128-4177-5604,1914-03-30,Ge-59130526,Geophysicist/field seismologist
F,Donna Cooper,N0986 97065 52168,2021-10-22,Fo-39237de3,Forest/woodland manager
F,Jessica Smith,0454553794127,1964-06-19,Me-7a1a02ab,Medical illustrator
F,Rebecca Clements,8529173,2016-04-07,Ph-d1434984,Physiological scientist
F,Michelle Ray,A32-43-4897,2010-03-04,Ar-3c8c5740,Armed forces logistics/support/administrative officer
M,Blake Ortiz,701591533419,1975-05-24,En-3e165a41,English as a foreign language teacher
F,Susan Bailey,M665-3900-6826,1951-06-05,Ev-a073acfa,Event organiser
M,David Gibson,5266781,1933-06-20,Oc-e4f1cf03,Occupational therapist
F,Wendy Reed,0541122R,1956-08-28,Ai-bd4b89e1,Aid worker
M,Andrew Brown,H46526872,1938-03-23,Ba-630b1369,Barrister's clerk
F,Denise Molina,540 651 007,1915-08-27,Ra-b922db02,Radio producer
M,Jeffrey Waters,7158724,1988-11-02,Ps-0bec92a7,Psychiatrist
F,Margaret Cline,I4507654,1973-01-01,Se-ffe30273,"Secretary, company"
M,Paul Graham,G110-0555-2081-78,1940-12-08,Jo-0d0bcce0,"Journalist, broadcasting"
M,William Day,E9643 24251 05662,1977-11-21,Ch-6f8e0f17,Chartered loss adjuster
M,Michael Thornton,1102951024116,2023-06-15,Ho-3872865f,"Horticulturist, commercial"
M,Mark Edwards,5383302,1932-01-13,Ma-6886e7c4,Make
F,Miss Christina Williams DDS,136 095 960,1997-12-24,En-44d5404c,"Engineer, agricultural"
F,Tracey Lin,338539-291,2022-01-27,Ge-6d8ce4a5,"Geologist, engineering"
M,Casey Werner,58-318-6244,1911-10-03,Wa-60c77c26,Water engineer
F,Tara Mclean,23-552-8843,1969-08-08,Pr-ad10217c,Print production planner
F,Stephanie Garrett,T631351365965,1978-05-07,Sc-0a25e823,"Scientist, water quality"
M,Charles Campbell,2411261K,1918-02-24,Pl-c48ed87a,Plant breeder/geneticist
M,Scott Taylor,E799-3490-5603,1919-11-13,Of-97f118dd,Office manager
F,Marissa Lane,N869-2562-2207-21,1956-03-17,Hu-9898aebd,Human resources officer
M,Daniel Robertson,FF354185,1918-01-06,IT-bf82136d,IT consultant
M,Stephen Ward,X61-03-0860,1949-08-10,We-82b13c6d,Wellsite geologist
F,Patricia Roy,7948497V,1944-11-21,Ar-d9751810,Armed forces logistics/support/administrative officer
F,Morgan Matthews,444-66-4040,2008-03-09,Ai-b854c9bf,Air cabin crew
M,George Weber,389683914437,1937-02-18,Ph-d0d33a27,Physiotherapist
M,Gary Grant,881188591,1923-03-12,Pr-66502894,"Producer, radio"
F,Laura Jones,E-224-362-395-137,1987-11-03,Qu-26a68096,Quarry manager
M,Brandon Williams,K85-96-1556,2004-05-11,Sa-8b5f0f84,"Sales professional, IT"
M,Clayton Petersen,MT626114,1988-09-01,Co-fe3ec9f3,Counselling psychologist
M,Scott Bowen,01529811,1925-11-14,Th-61198bf5,"Therapist, nutritional"
M,Gary Walton,2902350,1989-02-22,Co-e5686a06,Contractor
