birthday,name,licensenumber,gender,epid,job
1943-04-09,Michele Lee,538528-274,F,Ch-c5c2b59b,Chief Marketing Officer
1973-04-12,Allison Webb,0216-12-4246,F,Au-f4140e24,Audiological scientist
1985-01-03,Steven Herring,117764634,M,IT-529f98ff,IT trainer
2007-09-23,Kathleen Sims,733442729357,F,En-ec586006,"Engineer, maintenance"
1976-01-20,Allison Buchanan,155-88-1841,F,To-94199155,Tourist information centre manager
1999-04-09,Scott Wilson,NN536563K,M,En-dc8e69af,"Engineer, electrical"
1940-07-10,John Burns,W065-335-01-922-2,M,Ne-0d32cfb1,Neurosurgeon
1976-07-04,James Watkins,R-476-405-603-754,M,Hy-f2a039e0,Hydrologist
1938-02-07,Betty Liu,WDLFLSO9I0TR,F,Wa-10e5c73a,Warden/ranger
1978-12-26,Nancy Harris,K72-49-7079,F,Lo-c033f40f,Logistics and distribution manager
1939-11-14,Richard Prince,A8128184,M,Cl-79dd176c,Clinical psychologist
1914-07-11,Ashley Howard,SO***JM997TX,F,Da-1d2d4c8e,Database administrator
1978-02-12,Katherine Barr,D41-11-5826,F,De-3bb33f60,"Designer, multimedia"
1944-03-07,Taylor Daniel,175807-313,F,Ps-f5326d50,"Psychologist, counselling"
1975-01-30,Denise Mitchell,7595180,F,Yo-e9aab14f,Youth worker
1947-04-08,Stephanie Allison,YK154988,F,IT-6caae664,IT consultant
1971-10-07,Kevin Anderson,120824-335,M,Re-99b8bcb9,Regulatory affairs officer
2009-01-10,Lauren Jackson,U036-683-67-939-5,F,Su-71fddec8,"Surveyor, insurance"
1989-08-06,Cheryl Ponce,916900121,F,An-86574242,Animator
1916-06-28,Thomas Harrison,H1252 34227 12048,M,Ga-5aa71d57,Garment/textile technologist
1922-08-14,James Williams,042TX9868,M,Ce-e8d39960,Ceramics designer
2013-09-18,Shannon Taylor,D71556238,F,Cl-1538a500,Clothing/textile technologist
2015-02-03,Karen Miles,BQC-22-4979,F,Ar-47a4d14b,Art gallery manager
1942-11-13,Adam Reynolds,ZN476411M,M,En-1a336860,"Engineer, petroleum"
1912-09-29,Anne Eaton,IG072321,F,So-7bb74f28,"Social research officer, government"
1968-06-18,Nicholas Rodriguez,03078634,M,Th-c3777a35,Theatre manager
2007-08-30,Joel Newman,EB557252,M,Or-1a1d8dd9,Orthoptist
1911-04-30,Ronald Boyd,ED475588O,M,De-c77ad832,"Designer, exhibition/display"
1990-12-04,Rebecca Thompson,WDLWGSGOM6Z8,F,Me-1698dcbe,Medical secretary
1962-04-02,Mark Smith,646-12-1742,M,Pe-71edf099,Pensions consultant
1914-06-11,Stacey Murray,488412300,F,In-e539df58,Industrial buyer
2018-12-19,Mrs. Megan Ellis,1149258,F,Be-9dd2a806,Best boy
1914-11-27,Whitney Greene,T699-8788-5730,F,Fi-89665efb,Fish farm manager
1954-02-04,Lorraine Reese,066312853,F,Pl-1fb23e4a,Planning and development surveyor
1918-07-08,Dakota Delacruz,61-354-3986,M,Pr-ac7098e2,"Producer, radio"
1923-06-21,Michael Andrews,WIV**IX125ED,M,Su-cde7621a,"Surveyor, insurance"
1943-07-12,Frank Lambert,001 907 488,M,So-91a4c4f7,"Sound technician, broadcasting/film/video"
1969-07-14,Scott Good,Q47-60-2504,M,Ch-c6488b85,Chemical engineer
1939-06-14,David Wallace,1226854384124,M,Ar-2964b5e2,Archivist
1931-09-24,Matthew Melton,914991425737,M,Ed-faf770aa,"Education officer, community"
1985-04-10,Stefanie Hodges,N921291055876,F,En-12e0d0dd,"Engineer, production"
1992-01-02,Robert Dean,H05119008,M,Re-3ba560cc,"Research officer, government"
1994-10-22,Michael Ramirez,5444-74-9973,M,Co-73dafa23,"Conservator, museum/gallery"
1984-03-14,Faith Richardson,28826883,F,Po-27c74c5c,Podiatrist
1948-12-12,Kurt Chan,05YEU55135,M,Ps-11810301,Psychiatrist
1925-11-17,Alexis Morales,2182-20-7143,F,En-6c716eb3,Environmental health practitioner
2004-07-11,Sandra Ingram,YR***VR395FQ,F,Te-6c73cd3c,"Teacher, early years/pre"
1971-06-11,Kathleen Kramer,K18-08-9946,F,Ou-36df052f,Outdoor activities/education manager
1993-02-03,Victoria Wilson,K50-56-1928,F,Ar-2905d6fd,Archivist
2000-01-27,Justin Roberts,O03-19-8422,M,Le-ccf122aa,"Lecturer, higher education"
