name,job,licensenumber,epid,birthday,gender
Zachary Howard,Electrical engineer,697-83-3917,El-ff7cc9af,1926-03-06,M
Derek Taylor,Water engineer,U065-6180-7862-79,Wa-371c6f07,1977-07-12,M
Jordan Kane,"Psychologist, counselling",T 522 639 857 240,Ps-83b8d30e,1913-12-02,M
Alison Diaz,Speech and language therapist,11SCV89303,Sp-f5a72899,1950-05-13,F
David Jones,"Surveyor, minerals",K916-8301-2860,Su-dedf6be5,1930-06-19,M
Jennifer Miller,Petroleum engineer,967633163798,Pe-cb4e58dd,2007-04-14,F
Scott Bailey,"Loss adjuster, chartered",855834-551,Lo-352f2a83,1998-06-03,M
Stephanie Sanchez,General practice doctor,K36-32-6787,Ge-d3040367,1992-02-07,F
Mitchell Francis,Retail banker,53-862-0908,Re-534d773d,1955-06-20,M
Wayne Johnson,Advertising copywriter,N958045324,Ad-1c93bf0a,1952-04-17,M
Carlos Terrell,Dancer,E52479897,Da-df1ee80f,1935-11-05,M
Shannon Fernandez,Museum education officer,E851-3284-3736-83,Mu-abe1eaca,2010-01-14,F
James Green,Sport and exercise psychologist,QQQ-73-3734,Sp-5decc74c,2006-08-29,M
Jennifer Jenkins,"Psychologist, sport and exercise",N503-313-73-691-8,Ps-91fd0bf1,1913-05-29,F
Richard Benson,Insurance underwriter,P034-634-69-948-3,In-367eced7,1927-07-26,M
Mark Price,Theatre stage manager,N8698 46307 39737,Th-ba3ec9e7,1923-11-23,M
Gregory Butler,Soil scientist,R3593395,So-12418dbf,1916-11-19,M
Sydney Wood,Ecologist,6100606,Ec-83bdaac5,1919-04-14,F
Michael Salazar,"Psychologist, educational",150218618171,Ps-bcde5f3d,1918-07-26,M
Robert Marshall,Information officer,WDL5Z3O2VHVO,In-6fd3918a,1946-10-24,M
Juan Henson,"Engineer, drilling",A22-873-874,En-b7e9a342,1934-11-25,M
Emily Mayer,Aeronautical engineer,2701-93-6177,Ae-96d35440,1912-08-11,F
David Reid,Clinical molecular geneticist,48 303 590,Cl-1bd9729f,1960-02-19,M
Chelsea Bailey,Further education lecturer,H20188390,Fu-b74624df,1943-03-06,F
Taylor Stout,Translator,Z8261 64719 93058,Tr-e9d46430,1921-11-09,F
Jennifer Garcia,Make,12AJR76298,Ma-fd3939a8,2023-04-07,F
Amy Sexton,Glass blower/designer,1127967484108,Gl-975e2369,1956-04-19,F
Amanda Campbell,Politician's assistant,00-569-9305,Po-3c7ba4fb,1961-10-06,F
Joshua Cooley,Ceramics designer,Z-684-550-391-677,Ce-5ddc24e1,1981-03-10,M
Rachel Robinson,English as a foreign language teacher,WDLBWWKS00LN,En-9c11f546,1947-03-24,F
Damon Ortiz,Production manager,0648962,Pr-4628efc1,2013-08-09,M
Michael Riley,"Engineer, mining",45949539,En-ab584a55,1977-08-30,M
Beth Brooks,"Solicitor, Scotland",Q67505448,So-ff1be3a5,1956-08-19,F
Colleen Lee,Broadcast journalist,799725358615,Br-c5584c97,1933-03-17,F
Diane Flores,Airline pilot,095765-716,Ai-c5d4d034,1922-04-11,F
Carl Anderson,Educational psychologist,9187157,Ed-adf5be4b,1971-06-08,M
Gary Smith,"Scientist, forensic",993360368,Sc-ac7a0cfc,1985-08-26,M
Carolyn Shaffer,Microbiologist,EEV-48-2630,Mi-1082bced,1931-12-31,F
Tiffany Owens,"Horticulturist, commercial",T250352358323,Ho-5ca42145,1942-06-20,F
Laura Smith,Environmental health practitioner,585167-438,En-86424c31,1959-10-23,F
David Santos,Health promotion specialist,N69-29-3771,He-4ccc7c82,1954-12-18,M
Steven Morrison,"Psychologist, sport and exercise",TQ259902,Ps-f61bf014,1991-06-08,M
Gail Morales,Sales promotion account executive,7875-33-1148,Sa-34488d0b,1956-09-20,F
Brenda Gonzalez,Best boy,R024545701,Be-61e0ba39,1977-01-02,F
Cynthia Johnson,"Journalist, broadcasting",G43-59-5815,Jo-94d9e0d1,2016-02-10,F
Dale Smith,Commercial/residential surveyor,27731099,Co-e57d18a1,1942-09-26,M
Jeffrey Schultz,IT consultant,K62-24-2903,IT-5b0863c5,1946-01-23,M
Rebecca Torres,"Teacher, English as a foreign language",047315865689,Te-c3bc2f26,2014-04-09,F
Jose Franklin,"Therapist, occupational",Z9850414,Th-3d4a9230,1977-07-02,M
Stephen Lee,Medical technical officer,786-27-9223,Me-de1f91f3,2009-04-01,M
