job,gender,name,licensenumber,birthday,epid
Bookseller,M,Charles Dunn,I411796,1909-05-25,Bo-049f37e6
"Education officer, environmental",F,Laura Jackson,R03587992,1908-02-02,Ed-1126a7a0
Social researcher,M,Joshua Powers,1268828214104,1933-05-14,So-f6f2a679
Youth worker,M,Shawn Rivers,GRE**VQ656DK,2008-08-28,Yo-693c2d4a
Occupational hygienist,F,Nancy Watson,TFW-60-4490,1912-11-22,Oc-001e68af
"Lighting technician, broadcasting/film/video",F,Heather Mayer,Q857013,2013-04-03,Li-21ae95c5
"Designer, ceramics/pottery",F,Holly Barrett,YLJ-65-7058,1950-01-14,De-8f8273b8
Licensed conveyancer,M,Justin Fletcher,Y581576856233,1958-10-23,Li-beb132c9
Archivist,F,Dr. Brenda Combs MD,M801-459-35-980-1,1967-01-18,Ar-ba7db32a
"Engineer, materials",F,Cheryl Romero,G320247709659,1918-06-14,En-967b9ae1
Osteopath,F,Heather Gonzales,946918997,1961-03-09,Os-e916c1c7
"Engineer, civil (contracting)",F,Nancy Poole,X86-12-6386,1982-04-05,En-d6651534
"Designer, fashion/clothing",M,Fred James,QV740567,1951-01-06,De-c17e2dfe
Colour technologist,F,Jamie Lam,TXIN*OO451TA,1914-06-13,Co-5b98d5f5
"Engineer, mining",M,Brandon Santiago,22-317-9090,1944-05-08,En-8b15734f
Printmaker,F,Mrs. Joan Myers MD,R63-260-387,1913-09-04,Pr-e221517e
Ceramics designer,F,Diane Lucas,W6405 82477 77638,1969-10-31,Ce-beb14578
"Therapist, sports",F,Dr. Kathy Chavez DDS,663 632 607,1958-01-19,Th-1d1560a7
Primary school teacher,F,Jill Kennedy,IYY-30-6134,2018-03-16,Pr-6308b21e
Web designer,F,Connie Robinson,K8466929,1913-02-21,We-c37e90f6
Insurance underwriter,M,Aaron Jennings,6861815U,1978-10-17,In-5d1fd42e
Airline pilot,F,Sarah Padilla,0686478034107,1996-09-29,Ai-701aca33
Public affairs consultant,M,Marcus Walker,D015-635-84-515-9,1909-12-05,Pu-d99a1b2e
"Teacher, secondary school",M,Adrian Frazier,301-29-7995,1996-07-04,Te-e16a02af
Field seismologist,F,Jennifer Alexander,WDLGEWS3BAC0,1952-09-16,Fi-50f0b438
Pharmacologist,M,Greg Martinez,M204143009017,1975-03-28,Ph-243a94a8
"Engineer, manufacturing systems",F,Nina Keller,337465575534,1969-03-05,En-0e2c26fa
Systems analyst,F,Stacie Ruiz,OJ600189K,1929-01-16,Sy-f9a4916d
Community pharmacist,M,Brett Weaver,0287-28-7156,1984-01-15,Co-8c2784e4
"Merchandiser, retail",F,Karen Sharp,521103-647,2005-11-08,Me-3b97e3d1
Logistics and distribution manager,M,Edwin Bryant,B3121512,1957-05-10,Lo-017cdadf
Psychiatrist,F,Dana Romero,0931197704127,1996-11-03,Ps-db6276bf
Set designer,M,David Hamilton,KTH-59-3872,1936-02-14,Se-ff9a41e3
Psychiatrist,F,Nancy Newman,701108540,2015-02-02,Ps-4324d88e
Agricultural consultant,M,Andrew Turner,7784415,2013-06-04,Ag-a753512a
Field trials officer,M,Nicholas Kelly,O-032-268-387-988,1976-01-13,Fi-e9518832
Quantity surveyor,M,Joseph Munoz,P175-914-62-542-8,1960-01-02,Qu-33594334
"Accountant, chartered public finance",M,Justin Wright,1206120034116,1999-06-19,Ac-7f87c57e
Medical laboratory scientific officer,F,Madison Leon,O6312549,2000-04-27,Me-aa99c7f9
Social researcher,M,Cory Floyd,N2808 00885 12042,1910-12-19,So-16e56d90
Risk manager,M,Kevin Newman,U696-6883-1537-79,1919-10-23,Ri-3db53ed8
"Designer, furniture",F,Sharon Miller DVM,521585795561,1963-04-11,De-5d011bf2
"Scientist, research (maths)",F,Jennifer Lewis,7471-90-5940,1990-10-24,Sc-749440e3
"Surveyor, land/geomatics",F,Allison Singleton,1045311X,1995-05-31,Su-2358eefb
Horticultural therapist,F,Lindsey Carter,A129-6670-6245-71,1963-08-24,Ho-12ef0ecb
Learning mentor,M,Thomas Sanchez,Q13-81-8599,1971-07-21,Le-4c9fd6aa
Museum/gallery curator,F,Ellen Duke,YU713802,1977-08-10,Mu-11189e85
Airline pilot,F,Lori Morales,L07982707,1963-09-08,Ai-aee3c88e
Actor,M,Robert Stone,20667656,1999-11-25,Ac-5ad2baba
Radiation protection practitioner,M,David Jefferson,693288-406,1922-10-22,Ra-abc2ff54
