job,name,epid,birthday,licensenumber,gender
Paediatric nurse,Regina Aguilar,Pa-84136642,2012-10-27,0700957004130,F
"Designer, multimedia",Laura Patterson,De-4d7307c9,1949-12-28,HZ014612,F
Operational investment banker,Keith Thomas,Op-568411f7,2018-02-18,31-203-7120,M
Manufacturing systems engineer,Leslie Garza,Ma-755a5246,1970-01-03,172 340 632,M
"Horticulturist, amenity",Amanda Lopez,Ho-34346721,1995-01-15,BR***WB096WO,F
Special effects artist,Shawn Best,Sp-d2ea6978,1907-12-23,OD182213B,M
Conference centre manager,Christopher Dean,Co-9d5ea764,1987-05-27,949304917,M
Computer games developer,Christopher Cox,Co-c97036c3,1983-10-08,2690641N,M
"Social research officer, government",Sheila Li,So-164f72dc,1912-10-01,Z690688376,F
"Surveyor, mining",Denise Stevenson MD,Su-25c21aaf,1974-12-27,222135666,F
Herbalist,Kristie Morse,He-a54eba4e,1909-07-31,J879228825,F
Commercial horticulturist,Robert Moyer,Co-afd3c636,1998-09-21,286404212374,M
Medical sales representative,Amanda Reed,Me-3027af85,1927-07-20,G631-547-74-419-1,F
Audiological scientist,Paige Barnes,Au-f952e9e8,1965-10-03,S74807364,F
Information systems manager,Mark Snyder,In-b33c4bef,2004-02-07,WDLYZEJ298GP,M
"Sales professional, IT",Tonya Lamb,Sa-06aec883,1974-03-25,P2403122,F
Electrical engineer,Brandon Alexander,El-f3c662dd,1913-04-22,8711923,M
"Nurse, mental health",Lynn Stuart,Nu-bd7d1c40,2018-07-06,K99-29-4881,F
Risk analyst,Richard Walsh,Ri-69f6a012,1961-08-25,912880408,M
Scientific laboratory technician,Wayne Wood,Sc-0f3069e6,1941-08-07,340VT3325,M
Geographical information systems officer,Martin Baker,Ge-2b9d984b,1992-08-17,949440399,M
Surgeon,Kimberly Scott DDS,Su-84520cb4,1964-07-14,34-831-8584,F
"Surveyor, planning and development",Vincent Baker,Su-b5bebd5b,1915-06-16,562OA7602,M
Energy manager,Patrick Hammond,En-1e840caf,1950-12-22,S44-642-202,M
Heritage manager,Andrew Watson,He-e9e870ab,2012-07-14,O68281331,M
Building surveyor,James Andrews,Bu-e5afac2d,1994-10-08,52 714 772,M
Nutritional therapist,Shane Woods,Nu-3b7933c8,2019-01-21,0471508,M
Engineering geologist,Larry Bruce,En-7cdc171b,1947-03-27,E78357544,M
Archivist,Emily Luna,Ar-6db4d4dc,1926-12-11,S776024047,F
Clinical psychologist,Rachel Harper,Cl-305b74c3,2001-04-28,S004-890-97-925-7,F
Chief Executive Officer,Edward Trevino,Ch-eeff4097,1924-12-24,X958493,M
"Sound technician, broadcasting/film/video",Marcia Miranda,So-98e6b3c2,1908-02-02,W40-047-524,F
Artist,Patricia Miller,Ar-9d6fdb7a,2008-10-19,IME-91-2035,F
Management consultant,Daniel Pierce,Ma-849799c1,1907-07-13,Q840-4080-8579,M
Airline pilot,Cheyenne Rodriguez,Ai-e016f435,1993-03-11,5860619,F
Financial risk analyst,Edwin Yoder,Fi-2c58c850,1948-10-18,36-179-4388,M
Dancer,Tyrone Orr,Da-a190bdf8,1910-05-02,401-01-3946,M
Jewellery designer,Devon Ellison,Je-05a2e1ea,1931-04-05,36834936,M
Television/film/video producer,Stacy Moore,Te-223bcd2f,1973-09-02,WDLRTNWM5LZN,F
Editorial assistant,Nicole Dawson,Ed-c4ab56aa,1952-11-26,V-044-686-894-115,F
"Pilot, airline",Edward Brown,Pi-6fa6e8d4,1947-02-10,BH731231,M
"Engineer, building services",Jason Alvarez,En-c64811ca,1956-03-27,047KG9765,M
Primary school teacher,Randy Navarro,Pr-69279f9f,1948-09-06,H91719900,M
Tourism officer,Janet Price,To-43a6c217,1952-12-10,R113-046-33-833-8,F
"Biochemist, clinical",Charles Meyers,Bi-47d63095,1946-07-21,P91-515-410,M
Legal executive,Jamie Hart,Le-bebc7e21,1948-10-17,I101686,F
Magazine features editor,Vanessa Jones,Ma-874a848f,1959-02-15,914498936,F
Estate manager/land agent,Eric Burke,Es-614a0b30,1964-03-17,WAJ-31-9632,M
Ophthalmologist,Dakota Cisneros,Op-ad82c8d3,2008-06-22,642643794791,M
"Therapist, horticultural",Vincent Adams,Th-6004bcca,1989-04-11,1794494,M
