gender,birthday,licensenumber,name,job,epid
F,1975-01-14,1140110464111,Sara Cervantes,Senior tax professional/tax inspector,Se-98f36601
M,1977-02-19,WDL94L3W8EQZ,Mark Baker,Charity officer,Ch-11ca9731
M,1997-08-24,K48-26-1203,Andre Rangel,"Designer, jewellery",De-cb043c0c
M,1936-04-07,G0517 69712 45688,Stephen Martin,Magazine journalist,Ma-458239a9
M,1912-08-20,10EGA78052,Jeffrey Bennett,Learning disability nurse,Le-11c9a90a
M,2016-09-17,C89-86-6290,William Wright,Proofreader,Pr-656bd267
F,2016-08-30,02KUW64041,Lisa Andrade,Patent examiner,Pa-89b4cf51
F,1913-02-15,H76980470,Kiara Li,Aeronautical engineer,Ae-694e9572
F,1978-07-05,UT081218Q,Diana Martinez,Telecommunications researcher,Te-945176c0
M,1940-04-28,N333250,Scott Rodriguez,"Surveyor, hydrographic",Su-40c40a3c
F,1996-05-31,4619199,Kristi Parks,Intelligence analyst,In-bd11b62e
F,1931-07-03,T583-5843-5311,Dawn Davis,"Therapist, speech and language",Th-64dde8e3
M,1962-07-05,Y60-473-667,Christopher Jackson,"Teacher, early years/pre",Te-eefffb3e
F,1940-12-09,C270-114-33-099-8,Debra Price,Technical sales engineer,Te-5bb68373
M,1965-12-11,M392193237476,Dennis Dunn,Mental health nurse,Me-5b26ba1a
M,1920-01-29,A113-7210-0989-28,Joseph Reyes,Trading standards officer,Tr-644ae1d1
F,2008-07-20,PAX-90-2532,Michelle Joseph,Leisure centre manager,Le-1981ebaa
F,1935-03-25,F197-542-78-961-2,Laura Taylor,"Psychologist, sport and exercise",Ps-b1a6e750
F,1968-03-09,770YQ2954,Angela Clark,Hospital doctor,Ho-2194cfac
M,2001-11-10,671340604329,Lawrence Chen,Call centre manager,Ca-1341618a
M,1994-07-31,O-078-302-460-187,David Ramsey,Prison officer,Pr-265cbd74
M,1950-01-23,S353-4044-1477-78,Samuel Rogers,Town planner,To-24092460
M,1987-10-18,0206-46-9539,Darryl Hammond,General practice doctor,Ge-d81cdb75
F,1976-11-01,M311-7429-8208,Denise Haney,Clinical research associate,Cl-bdd330d8
F,1933-03-08,B401-0239-3236-47,Debbie Armstrong,Retail banker,Re-76eab48e
M,2023-05-04,MC840089,James Williams,Theatre director,Th-f79ff7e4
M,1999-04-04,SIW-42-1614,Richard Park,"Designer, industrial/product",De-682508f3
F,1979-09-11,31-217-5202,Debbie Wiggins,Sports development officer,Sp-3d403e8d
M,1955-10-15,W787-867-10-565-1,Gabriel Brown,Secondary school teacher,Se-39d5f75d
F,1968-12-08,WDLMTEZHZZB0,Paula Gonzalez,Higher education lecturer,Hi-873d6797
F,2002-09-18,Q766488,Sandra Garcia,"Engineer, broadcasting (operations)",En-e38f5d8e
F,2000-01-18,K989-317-37-359-9,Laura Winters,Town planner,To-77ae5f9a
F,1976-02-04,5777385,Brandy Shepherd,Product designer,Pr-b1d586d5
F,1940-10-17,1259765914131,Margaret Padilla,Broadcast journalist,Br-81df3683
M,2015-12-15,GB755425,Nicholas Finley,"Therapist, drama",Th-11a0d7b5
M,1962-08-26,T 790 196 159 909,Joseph Garcia,"Education officer, community",Ed-da6e2d37
M,1981-04-28,0895-85-4169,Jason Benson,Psychiatrist,Ps-1cbdd3b9
F,1924-02-09,I142369394706,Alicia Jackson,Sports coach,Sp-fd0d5001
F,1930-08-13,396419-410,Melissa Lawrence,Camera operator,Ca-f3517a4e
F,2018-04-10,N20042107,Danielle Conley,"Production designer, theatre/television/film",Pr-70f708de
M,1924-01-04,78-041-7374,Steven Allen,Community education officer,Co-f43a2fd2
M,1914-09-07,T16510986,Thomas Thomas,"Teacher, English as a foreign language",Te-c509cfb9
M,1995-10-13,B409-164-27-502-2,Dennis Willis,Commissioning editor,Co-9b3240fb
M,1967-03-11,LU528714O,David Lowery,Radiation protection practitioner,Ra-b8680bad
F,1951-04-06,585NC1957,Terri Horn,Economist,Ec-1d71d7da
F,2001-11-09,EWYCBRR448X4,Lisa Lee,Cytogeneticist,Cy-042df1c3
F,1997-12-10,LM912367,Carla Osborne,"Therapist, speech and language",Th-599ac96c
M,2018-05-29,11TRF82311,Mr. Jacob Sexton,"Designer, ceramics/pottery",De-4eb0c6d4
M,2008-02-25,909YK9169,Christopher Lewis,Customer service manager,Cu-ed06a27e
F,1924-03-02,H77942170,Anne Moss,Dentist,De-6cedbae7
