job,name,licensenumber,birthday,epid,gender
Public relations officer,Mary Brown,698310994925,1917-08-07,Pu-dc79a2ac,F
"Research officer, trade union",John Barnes,1047073204130,2022-09-04,Re-1a451eec,M
"Nurse, learning disability",Christine Brown,944674427,1922-08-03,Nu-9398434f,F
"Psychologist, occupational",Steve Evans,DL***HC404EI,1917-01-19,Ps-a089ec96,M
Dancer,Brandon Riddle,65-304-9731,1956-11-30,Da-6756cfd6,M
"Producer, television/film/video",Paige Schmidt,Z 417 703 297 257,2000-06-23,Pr-01f93241,F
Careers information officer,Brenda Rogers,558HR9626,2013-11-03,Ca-a55ba308,F
Chief Financial Officer,Dave West,532471795059,1998-04-12,Ch-5830f013,M
"Psychologist, forensic",Mr. Joe Montgomery,99 821 485,1983-03-23,Ps-b80aa66e,M
Leisure centre manager,Charles Brown,964534915,1910-12-12,Le-d86424de,M
Health and safety adviser,Sarah Walker,HS610958J,1999-03-22,He-a0018e6a,F
"Designer, graphic",David Koch,995547144,1933-11-11,De-0aad029d,M
Commercial art gallery manager,Dr. Jeffrey Garcia,1883379,2009-09-02,Co-7bcc50c8,M
Ship broker,Samantha Smith MD,X894958678803,1969-09-19,Sh-78f0921c,F
Dentist,Joseph Novak,938363834,1994-08-11,De-6de80a89,M
Patent examiner,Krystal Mitchell,34-959-6007,1978-11-30,Pa-8c6031ef,F
Copy,Jeffery Adams,N684-5521-0197,1982-01-30,Co-7028e3e1,M
"Designer, jewellery",Amy Walker,982122009,1915-09-16,De-027911af,F
Architect,Karen Anderson,925057001,2003-09-25,Ar-134b9a5b,F
Musician,Trevor Rodriguez,A3319 12337 20059,1961-04-19,Mu-37a4e790,M
Government social research officer,Michael Hancock,K71-57-1767,1989-03-27,Go-6f98e650,M
Mining engineer,Tanya Herman,12JBX74316,2013-03-06,Mi-02efc3b6,F
Make,Justin Young,V-417-197-803-553,2022-03-25,Ma-a1b8cf2a,M
Horticultural consultant,Elizabeth Johnson,T208804,2006-07-11,Ho-3305056c,F
Chartered public finance accountant,Donna Lewis,123CL5187,2021-07-15,Ch-95b22004,F
"Therapist, drama",Gabriella Petty,J25671712,1935-01-04,Th-4dda3f01,F
"Psychotherapist, dance movement",Jennifer Avila,087730-671,1982-04-30,Ps-d8524de6,F
"Administrator, education",Ryan Miller,0833876494131,2010-07-13,Ad-e8ee056a,M
Photographer,Carl Moore,248HK8715,1941-11-11,Ph-65f47334,M
"Surveyor, building",Gloria Shaw,PL***QT411XY,1955-10-21,Su-75fb3eee,F
Probation officer,Christina Frazier,R0844085,1968-03-14,Pr-b01372c6,F
Equality and diversity officer,Peter Archer,RKNQSTA974L8,1971-01-25,Eq-bdfc13dc,M
"Education officer, environmental",Nathaniel Brown,L822-7286-8456-82,1998-09-10,Ed-fb668261,M
Contractor,Lisa Shaw,12EIA91313,2012-02-07,Co-fce5b67d,F
Conference centre manager,Thomas Gibson,Z361027645,1986-04-23,Co-42732c71,M
Interior and spatial designer,Stephanie Morris,T 695 738 716 659,1908-06-10,In-2837caf2,F
Maintenance engineer,Cathy Allen,H07533948,1953-01-05,Ma-c0f0c015,F
English as a foreign language teacher,James Davis,12WQJ59241,1942-06-19,En-98057928,M
"Librarian, public",Kelly Gonzales,689212-362,1949-01-03,Li-b387dcb7,F
Magazine journalist,Kelly Jenkins,943717346,1913-07-12,Ma-26bb632a,F
Air traffic controller,Megan Edwards,8557232V,1908-06-16,Ai-0f35abb9,F
"Administrator, education",Courtney Odonnell,H36071750,2004-08-15,Ad-b6061f0c,F
"Nurse, children's",Logan Olson,G189-0684-4640-70,1985-09-19,Nu-c1326023,M
"Surveyor, rural practice",Matthew Blankenship,3296-36-4741,1989-05-19,Su-99fc6ce8,M
"Nurse, children's",Mary Kane,553 348 868,1919-12-14,Nu-0cc5d391,F
Theme park manager,Brandon Newman,DZX-42-9841,1948-06-02,Th-732edcc0,M
"Teacher, English as a foreign language",Steven Smith,NS938942,1975-10-22,Te-96383b4a,M
Fitness centre manager,Mr. Shane Anderson,B 343 856 876 210,1913-12-01,Fi-94604dd0,M
English as a second language teacher,Nathan Edwards,B718-604-30-609-9,2004-04-11,En-aeef2234,M
Community arts worker,Sara Oliver,I926340887,1958-07-11,Co-009ebdfa,F
