gender,licensenumber,job,birthday,name,epid
F,120959-799,Research scientist (medical),1946-03-03,Brenda Hurst,Re-cd5a6d54
F,00 359 959,Dentist,1950-09-28,Maureen Anderson,De-7f84e6eb
M,B7607058,Actor,1913-08-09,Paul Jones,Ac-6fa26a09
M,457887362,Radiation protection practitioner,1930-01-26,Kevin Dorsey,Ra-41509fb6
F,833915-938,Retail manager,1932-01-30,Kaylee Brown,Re-bcf2cb91
M,K284341937029,Minerals surveyor,1999-09-17,Keith Jones,Mi-c9aeb698
M,918013594765,Personal assistant,1977-06-21,Henry Carpenter,Pe-742f3637
F,H08711489,"Development worker, international aid",1995-06-03,Jeanette Poole,De-3f11f7ad
F,Y42126567,Cartographer,1987-01-14,Kimberly Anderson,Ca-62d36d1e
F,T401605,"Optician, dispensing",1949-10-24,Patricia Doyle,Op-efb5138c
F,9447531R,Art gallery manager,1943-03-21,Emily Hess,Ar-24b041f5
M,909MQ7897,Lexicographer,2000-07-21,Christopher Anthony,Le-8a450dda
M,D6768424,Barrister's clerk,1949-02-24,Matthew Melton,Ba-0db03f31
F,1718-35-0566,Horticultural therapist,1975-02-02,April Santos,Ho-202c9cf4
M,T 900 335 328 662,Public relations account executive,1915-01-20,Jeffrey Garcia,Pu-2f5f8abe
M,882TS9667,"Surveyor, land/geomatics",2007-09-27,Jeffrey Guzman MD,Su-6efae95c
M,WDLZPZXSL5XN,Community arts worker,1987-06-16,Aaron Fields,Co-84f1e217
M,VD358666,Homeopath,1915-09-17,David Curtis,Ho-f1bcd351
M,C212-087-89-468-6,Bonds trader,1943-08-27,Joe Morris,Bo-7c2cafe0
M,C277-1706-4614,Meteorologist,1980-05-14,Christian Roth,Me-afbb4030
M,1233737,Tourist information centre manager,2010-02-10,Joseph Castillo,To-75660f8d
F,8610959,Arts development officer,1968-04-05,Makayla Greene,Ar-615b5ed8
M,141 853 652,Ceramics designer,1990-04-13,Rodney Reeves,Ce-ef0162ab
M,UO584674A,Community arts worker,1971-01-03,Edward Knox,Co-05e83de1
M,V414131640,Special effects artist,1908-10-13,Wesley Gonzalez,Sp-487670a6
M,7701473,Tree surgeon,1923-02-05,Craig Walters,Tr-c14b3d1a
M,H51788919,Patent examiner,1938-11-08,Robert Nixon,Pa-1e52de9b
M,098 250 041,Recycling officer,1971-08-23,Billy Smith,Re-f6edd43b
F,11AMQ30316,"Lecturer, higher education",1940-04-10,Christina Dougherty,Le-3ffbb701
M,V267-6498-5767-98,Advertising account executive,2013-07-31,David Robertson,Ad-24f882fc
M,M958-825-02-281-8,"Surveyor, rural practice",1928-04-15,Matthew Whitehead,Su-bc4b11bf
F,G620-7844-9664,Comptroller,2012-03-22,Desiree Mitchell,Co-c4dc69e8
M,72-774-2604,Intelligence analyst,1917-03-18,Chris Elliott,In-35c95df0
M,16 398 480,Medical sales representative,1966-12-01,William Myers,Me-a3a59731
M,C826-629-49-456-2,"Programme researcher, broadcasting/film/video",1949-11-07,Scott Hines,Pr-2ddbd108
M,T83-05-8983,Sales executive,1955-12-18,Eric Gonzales,Sa-6b8ed618
M,121700-597,Television/film/video producer,1961-03-18,Matthew Hayden,Te-7b08b6a3
F,3855-38-0634,Textile designer,1977-05-05,Linda Gross,Te-c36bbfee
M,T 152 780 606 945,"Teacher, English as a foreign language",1953-05-13,Alex Scott,Te-304e7d66
F,WDLNOBOTYQ9L,Consulting civil engineer,1913-04-08,Mary Shaw,Co-3279e6b5
M,JAY-84-4255,Advertising copywriter,2021-12-13,Jeffrey Lambert,Ad-ffb7a86d
F,255 070 331,Senior tax professional/tax inspector,1947-05-21,Darlene Sullivan,Se-f873e89f
F,GZM-34-6986,Legal secretary,1915-11-05,Jennifer Alexander,Le-83616255
F,RO582189Q,Network engineer,2010-09-21,Monique May,Ne-2662f7a2
F,7800189,Ship broker,1908-05-23,Megan Lucas,Sh-92889f02
M,J53-877-787,"Designer, textile",1994-09-06,Brian Henry,De-c7b642b4
F,QCM-29-8501,Careers adviser,1997-03-14,Melissa Byrd,Ca-4aaaf30d
F,SCA-01-8249,Child psychotherapist,1917-04-22,Stacey Carter,Ch-6d2779b1
F,041167861,Tax inspector,1922-06-06,Pamela Gardner,Ta-3df39243
M,303-35-3547,Podiatrist,2020-09-29,David Salas,Po-34d44516
