birthday,licensenumber,gender,epid,name,job
1908-11-01,53-378-9165,F,Se-a8307846,Elizabeth Bentley,Secondary school teacher
1985-11-22,F03-000-956,F,Te-28991c4c,Colleen Robinson,Telecommunications researcher
1940-10-30,Z346-2603-9193-69,F,En-4f0b9e31,Hannah Yu,English as a second language teacher
1944-03-22,560472706,M,Ac-fb150fc0,John Caldwell,"Accountant, chartered"
1943-10-01,79 099 258,M,Pu-2de42a17,William Reed,Public relations account executive
2011-10-23,R764792,F,Cl-802c58a1,Kelly Kirk,Clinical psychologist
2019-08-11,Q07-629-771,M,Co-3fb9f266,Andrew Cross,Counselling psychologist
1940-10-04,P61-26-1464,F,Re-c7c4d555,Sarah Benitez,Research scientist (maths)
1919-07-18,944MV4083,F,De-dd8ebfc1,Donna White,"Designer, furniture"
2009-08-16,K98-67-5037,F,Ch-4df888e8,Melissa Douglas,Chief Executive Officer
1923-09-06,1244642004114,M,Me-b3540e1b,Thomas Dixon,"Merchandiser, retail"
2018-09-23,63987777,M,Ad-4c6fc712,Michael Patrick,Administrator
1960-01-26,T5659 63947 98999,M,Ai-d79692ca,Nicholas Terry,Aid worker
1989-07-19,P32950444,F,Tr-7a1db43d,Cheryl Benjamin,Translator
2004-01-30,SVO**XJ99858,M,Tr-69c31c3f,Joseph Nicholson,Translator
1915-07-31,64 226 440,M,Nu-90ab834b,Michael Howard,Nutritional therapist
2015-07-11,B 561 188 838 199,F,En-88d97b70,Candice White,"Engineer, communications"
1931-02-17,GKJ-05-9158,F,Fa-8f3056af,Sarah Rogers,Facilities manager
1985-08-12,S46-42-1941,M,Th-13c8d970,Tony Brewer,Theme park manager
1965-03-27,Z-514-426-616-466,M,De-613153a1,William Williams,"Designer, television/film set"
1979-12-17,043 149 214,M,Co-ed38f0d8,Andrew Conrad,Counsellor
1972-09-14,486232-699,M,En-db913340,Eric Brown,"Engineer, mining"
1910-01-27,1446-14-2168,F,Fi-59705863,Kimberly Nicholson,Financial trader
1944-05-10,1217710704115,F,Ex-571069ce,Meghan Neal,Exhibition designer
1972-06-11,A48-09-1709,F,Fa-38c481ca,Katelyn Gillespie,Farm manager
1928-12-31,H788-344-78-868-7,F,Th-7a54f5e7,Brooke Leonard,"Therapist, horticultural"
1940-03-24,19 164 013,M,Pu-8bc8b4e1,Brett Walters,Public librarian
1921-03-16,972MN5736,F,Au-b99188ab,Joy Gonzalez,Automotive engineer
1927-12-01,591703912,F,Ge-cd49ffeb,Tiffany Rodriguez,Geophysicist/field seismologist
1919-10-30,FDL-69-8733,M,Ar-90ff3bcb,Mr. Michael Lynn MD,Armed forces logistics/support/administrative officer
2022-05-11,4751346U,F,Ch-b0468371,Christy Mack,Chief Financial Officer
2010-05-25,0439-40-0136,F,De-8a8a2018,Kimberly Melton,"Designer, ceramics/pottery"
1958-07-11,HSN-06-9241,F,Th-06dad869,Tami Mercado,Theatre manager
1997-10-14,326953179181,M,Ca-b288704e,David Williams,Cabin crew
1946-07-15,Q1852463,F,Ri-c09bf1a6,Kathleen Ferrell,Risk analyst
2015-08-14,E03-439-516,F,Ho-1105d00f,Amanda Newton MD,Hotel manager
1976-02-13,FFG-82-1749,M,Ta-9947475e,Andrew White,Tax inspector
1975-09-26,1199362174106,M,Ha-14930a2a,Brian Adams,Haematologist
1960-09-15,HR949403G,F,Pu-d97bd815,Mercedes Lynn,Publishing copy
1927-06-12,673180-322,F,Co-bf3a159f,Catherine Edwards,Counsellor
2012-09-06,K3715608,M,Of-43b45639,Ricky Sellers,Office manager
2022-06-09,U9399 58782 09931,M,Ar-9df057d5,Robert Higgins,Archivist
1909-10-17,M30899649,M,Ca-6ed328a6,Patrick Anderson,Careers information officer
1955-11-11,L274-4509-7066-43,M,Ag-5f0b45a2,Keith Anthony,Agricultural engineer
1996-02-02,B840533,M,Ph-ac1e00e8,Richard Cook,"Physicist, medical"
1930-09-04,51495218,M,So-2bff7ae3,Chase Casey,"Social research officer, government"
1910-12-09,08796833,M,En-f4d5b7ad,David Duncan,"Engineer, structural"
1974-04-17,F 615 926 382 045,F,Le-ebec7843,Rebecca Smith,"Lecturer, higher education"
1986-03-07,0522965894109,F,Fi-d3096395,Maria Roberts,Fisheries officer
1948-01-25,966437769511,M,Ag-8f4ee007,Mark Sullivan,Agricultural consultant
