job,name,gender,epid,birthday,licensenumber
Volunteer coordinator,Shawn Terry,M,Vo-380a71bf,1914-01-24,S7109 20841 38427
Clothing/textile technologist,Jennifer Baker,F,Cl-453b149c,1925-07-28,W20942484
"Teacher, primary school",Shelley Blevins DDS,F,Te-dbb12f4b,2019-04-14,F5443 27856 57956
Toxicologist,Tammy Moore,F,To-2163ba5e,2017-01-21,NA968064J
Ophthalmologist,Chris Watson,M,Op-a2c038ff,1936-10-13,86453530
Financial adviser,Stephen Gonzalez,M,Fi-94bb622e,1960-05-28,ZHU-48-7569
Rural practice surveyor,James Davis,M,Ru-8e0de230,1982-05-20,UOT-97-4221
Equities trader,Rebecca Byrd,F,Eq-b9dcbf92,1955-07-08,60 479 833
Acupuncturist,Fernando Bird,M,Ac-ed49e38f,1953-07-22,9024818
"Scientist, audiological",John Williams,M,Sc-d9217895,1990-09-18,097 122 635
Information officer,Samuel Stevens,M,In-ab637244,1936-12-07,992452724
Adult nurse,Jasmine Bennett,F,Ad-757eb177,1943-05-31,WDLHTD9018RA
Oceanographer,Leonard Andersen,M,Oc-ebe8f034,1944-06-26,2932-99-5097
Speech and language therapist,Veronica Edwards,F,Sp-3bf478e3,2007-09-24,H 148 806 209 078
Banker,Christopher George,M,Ba-fafe9de9,1992-05-01,H70217448
Emergency planning/management officer,Brian Blevins,M,Em-d2b76544,1939-06-24,0566036434105
Pensions consultant,John Young,M,Pe-8dc3a1e3,1992-07-14,M67726116
Computer games developer,Colleen Hill,F,Co-52d342ac,1995-11-14,3924-63-2578
Geochemist,Michael Jones,M,Ge-8997e39a,2003-07-08,Q220-201-37-318-0
Scientific laboratory technician,Mark Kent,M,Sc-3ca6e67e,2002-11-22,222-40-4998
Fine artist,Ryan Rogers,M,Fi-8cd1e1eb,1926-05-07,O078860076230
Statistician,John Pitts,M,St-68adfa19,1976-08-25,N181-4259-3772
Visual merchandiser,Carrie Warner,F,Vi-a1669dca,1948-07-17,74676130
"Surveyor, insurance",David Burgess,M,Su-b79d7ab9,2013-03-04,K53-59-5022
"Surveyor, building",Anthony Barr,M,Su-659f814e,1929-03-12,WDLYATEV20A6
"Sound technician, broadcasting/film/video",Tonya Johnson,F,So-41d4161b,1931-12-17,7000725
Chief Strategy Officer,Kurt Deleon,M,Ch-929ee69d,1980-04-12,U076267742656
"Therapist, music",Tina Clark,F,Th-d3947a58,1945-02-25,742AJ7164
"Therapist, horticultural",Kathryn Martin,F,Th-62fe66a0,1977-11-21,P29-202-590
Management consultant,Joseph Wilson,M,Ma-ba3a7887,2011-04-20,K994287864
Museum/gallery exhibitions officer,Derek Jacobs,M,Mu-754d6072,1948-11-28,C-695-705-746-991
"Loss adjuster, chartered",Rachel Valencia,F,Lo-01eb0a8a,1914-01-19,N795629235
"Buyer, retail",Richard Lopez DDS,M,Bu-72b4d8b6,1988-02-12,1662265
"Psychotherapist, child",Edward Eaton,M,Ps-eab22a8f,1984-06-13,8005811P
Tour manager,Edward Pierce,M,To-7b91278b,1990-11-16,019700518038
"Accountant, chartered management",Paul Roberts,M,Ac-1e124823,1949-03-05,648 163 412
"Scientist, research (medical)",Jeffery Sherman,M,Sc-baa4e0fa,1981-12-24,A37-39-9928
"Surveyor, building control",Michelle Garcia,F,Su-88977450,2007-09-28,709PD5894
"Designer, furniture",John Roberts,M,De-1fbf2495,1931-09-04,IRD**OM128CJ
Tour manager,Kimberly Webster,F,To-8a5bd242,1934-03-29,C0612279
Surgeon,Nicole Campbell,F,Su-58baeb51,1955-08-26,H70222357
Administrator,Brittney Diaz,F,Ad-12cc7464,2023-03-21,9320769
Travel agency manager,Mrs. Christina Johnson,F,Tr-0b685a63,2002-04-05,840 365 377
Advice worker,Jeremy Walker,M,Ad-f16a5c72,1916-11-28,25 265 687
Historic buildings inspector/conservation officer,Miranda Beard,F,Hi-21d241fd,1976-10-15,985969743
Sports development officer,Brandi King,F,Sp-22147f1e,1985-11-10,R44-720-642
Soil scientist,Kim Berry,F,So-1c939623,1997-12-14,78-578-3655
Retail merchandiser,Patrick Odom,M,Re-74eb3eaa,1941-06-22,N664-383-11-476-8
Race relations officer,Danny Palmer,M,Ra-0346de34,1972-03-30,036-94-8495
Best boy,Whitney Smith,F,Be-09969e41,1953-09-16,141234-810
