gender,name,licensenumber,epid,birthday,job
F,Rachel Nelson,QNQ-65-9377,De-39a7e954,1980-06-11,"Development worker, international aid"
F,Susan Aguilar,49 334 714,Ph-f3879d6d,1931-03-08,"Pharmacist, hospital"
F,Joanna Cole,198ZP7082,Fi-83101e55,1954-10-15,Financial planner
M,Juan Ewing,C6422 87092 26344,Su-945693a1,1927-10-04,"Surveyor, insurance"
F,Christine King,N 511 824 430 627,Li-3e9afec6,1985-07-22,Licensed conveyancer
M,Robert Rogers,F3379 13700 19545,Ad-7183be43,1909-08-19,"Administrator, Civil Service"
M,Scott Hanson,726109-068,Re-3d2deb5d,1988-07-07,Restaurant manager
M,Marcus Harrington,U-528-814-817-851,Se-ad342233,1956-10-27,Secondary school teacher
M,Richard Lawrence,473502371802,Th-34ac5f6f,1960-06-12,"Therapist, speech and language"
F,Julie Warner,A34420740,En-9f700339,1950-05-29,"Engineer, production"
M,Willie Butler,480 278 267,Ga-4a7acb09,1985-05-18,Games developer
M,Douglas Ayers,G91515839,Sc-93ca48e6,1974-02-06,"Scientist, research (physical sciences)"
F,Sheri Wiley,TAN-97-2513,En-a29ab117,1944-11-20,Environmental education officer
F,Angela Collier,X6735641,So-45cdc1ef,2008-12-22,"Sound technician, broadcasting/film/video"
F,Susan Parker,P3061 43809 62732,IT-2c173ecf,1980-03-10,IT consultant
F,Jessica Rosales,E-713-942-175-332,Mu-0d7c1631,2021-04-03,Music therapist
F,Erica Boone,67155998,Sc-dc427b8d,1991-11-24,"Scientist, audiological"
M,Colton Miller,895 804 568,La-e6af33b1,1977-08-23,Landscape architect
F,Dr. Andrea Lloyd,OJL**OS872ES,Ph-7dc98ae0,1985-06-11,"Physicist, medical"
F,Kathryn Chavez,7827-38-1259,Pa-d0f57bc9,2012-05-14,Passenger transport manager
F,Amanda Schmidt,T81-84-2671,Su-a0226ebc,1970-11-06,"Surveyor, mining"
F,Dr. Renee Richmond DDS,84 246 640,Ed-9bc3050e,1957-11-04,"Education officer, community"
F,Brianna Hoffman,L943-5741-3628-82,Su-7f7f41f4,1986-11-08,Surgeon
F,Christina Wells,NA880056,Pr-38a06c0a,2009-04-25,Production manager
M,Randall Moss,1117276694120,Ad-ad013c1d,1940-10-29,Advice worker
M,Robert Thompson,900075405,Su-2fa7ee17,1998-02-11,"Surveyor, rural practice"
F,Kristen Beard,767-57-2548,Pa-e428c9c3,2022-09-01,Pathologist
F,Samantha Adams,V19-96-5305,Nu-be7f4f49,1985-05-18,"Nurse, mental health"
M,Nicholas Bradley,K21-89-4092,In-1d2ff2eb,1995-10-24,Interior and spatial designer
F,Janice Erickson,WDLTDG5SAA59,Op-5a6cac33,1957-04-11,"Optician, dispensing"
M,Calvin Brown,D952-2055-4807-87,Em-b7759ad1,1956-04-26,Emergency planning/management officer
F,Cassidy Williams,Q5092 89051 19574,Ad-b9e9a38b,1989-11-24,Adult nurse
M,Steven Tate,992013870,He-ed8bdcb1,2012-06-12,Health visitor
M,Gregory Johnston,2861196,En-fc4583f9,2019-10-11,"Engineer, automotive"
F,Nicole Stevenson,250SK2851,Jo-5294b069,1931-06-19,"Journalist, broadcasting"
F,Rachel Booth,957GN2404,Pu-dca49ae0,1952-02-12,Public affairs consultant
F,Anna Munoz,05-338-6571,De-266919e1,1942-11-24,"Designer, jewellery"
F,Tracie Henderson,C833483930602,Co-84419aa7,1973-08-04,Counselling psychologist
M,Douglas Rose,KQ***FS377CY,Ge-e89ebddf,1987-09-27,"Geologist, wellsite"
F,Tanya Steele,G81-913-279,En-d12dc341,1965-11-26,"Engineer, production"
F,Lauren Young,V126-4825-7416-93,To-766ff957,1941-05-30,Toxicologist
F,Sandra Gordon,K51-90-7869,Da-42898cd9,1999-09-23,Database administrator
F,Erica Martin,Q-946-252-568-072,Ar-5951deac,2002-08-29,Archivist
F,Sharon Torres,H00815770,Pr-4896d465,1919-11-28,Private music teacher
M,Zachary Mcdonald,35390799,So-1cec5697,1924-05-15,"Social research officer, government"
M,Scott Beasley,H79937673,Re-3e400458,1990-11-03,Research scientist (medical)
M,Kevin Brown,7243979O,Pr-389afaf8,1990-09-29,Press sub
M,Wayne Carter,4361587,Ac-c5655be4,2004-04-22,Academic librarian
M,Jon Keith,4212930,Po-d0eed4e3,1940-07-18,Politician's assistant
F,Jennifer Johnson,I-001-573-000-840,Ba-c84c5cde,1909-12-25,Barrister
