gender,job,licensenumber,birthday,name,epid
F,"Engineer, biomedical",L127342081,1935-10-23,Heidi Bradley,En-113a7200
M,Health service manager,7846-31-7144,2020-03-29,Greg Fox,He-1b973a32
F,Building services engineer,428 526 114,1940-03-17,Lori Kennedy,Bu-be05a520
M,Fitness centre manager,P061501817,1951-10-25,Roberto Allen,Fi-47c2ebfe
M,Ambulance person,T0074317,1931-07-04,Michael Knapp,Am-55df345b
F,Police officer,35-464-7669,1916-06-05,Rebecca Washington,Po-a66dc219
F,Computer games developer,L392066619813,1941-04-25,Christina Nguyen,Co-90b5bf38
F,Astronomer,O85995856,1988-03-31,Diane Horn,As-79111af0
F,Higher education careers adviser,822059590,1975-11-30,Linda Pineda,Hi-dd8f1502
F,Mining engineer,626711845750,1997-05-01,Heather Carey,Mi-1ab7c0f4
F,"Scientist, marine",WDLOK8MM2DGT,2010-09-25,Miss Jessica Lee MD,Sc-fb3deb46
M,"Accountant, chartered certified",424135-282,2012-04-16,Michael Fitzgerald,Ac-f9209e15
F,Colour technologist,AQ395059,1992-09-02,Lauren Smith,Co-de3caefe
M,Animal technologist,7832640P,1986-12-29,Luis Barber,An-5ddaab7a
F,Chartered public finance accountant,M444-1924-0521-44,1987-11-25,Jessica Hill,Ch-82cd5228
F,Police officer,086 090 325,1980-06-09,Tammy Pitts,Po-7a0b618b
F,Commercial horticulturist,O312255359,1937-02-22,Sydney Wilson,Co-6d1896a2
M,Environmental manager,77-732-4869,2004-10-06,Robert Ward,En-2fd80bfd
F,"Engineer, broadcasting (operations)",I-029-344-013-672,2012-09-27,Patricia Gibbs,En-a8a714eb
F,"Scientist, marine",1206434654130,1945-03-19,Karen Le,Sc-f8c9501c
M,Network engineer,K309-5137-1120-61,1959-04-07,Mr. Ralph Scott,Ne-fcbd5257
M,"Accountant, chartered public finance",K838-015-44-747-8,1987-11-01,Steven Richard,Ac-bb5a0640
M,Petroleum engineer,772-35-0523,1934-08-07,Nicholas Garcia,Pe-0523473c
F,Professor Emeritus,W25612029,1921-02-16,Nicole Wood,Pr-8603faaa
F,"Designer, interior/spatial",6008575,1920-10-18,Sarah Peterson,De-ef94002c
F,"Teacher, English as a foreign language",0787779974117,1941-11-20,Frances Mccormick,Te-51a9f51b
F,Museum/gallery curator,7027-88-6563,1955-06-17,Dominique Taylor,Mu-422e77b4
M,"Designer, jewellery",AWJ**DC218M9,1990-09-15,Spencer Gonzalez MD,De-8bdf1f99
F,Public librarian,X57122640,1993-07-07,Rebecca Wilson,Pu-3dfcae74
F,Fish farm manager,C816927,2009-02-07,Sara Howard,Fi-3a4b045d
F,"Doctor, hospital",K43-47-5961,1931-01-25,Bonnie Berger,Do-b726a383
F,Radio broadcast assistant,K777-320-93-810-1,1931-04-06,Brittany Wheeler,Ra-d2008297
M,Armed forces technical officer,P767428,1984-05-16,Lawrence Garcia,Ar-c2c28093
F,Barrister,LF078241,1954-04-05,Natasha White,Ba-62ae3228
M,Advertising account executive,083 901 602,1951-07-13,Joseph Williams,Ad-437bf92b
M,Associate Professor,082670201927,1942-11-09,Michael Harrell,As-46c098fc
F,Interior and spatial designer,901290708,1978-12-19,Mindy Fox,In-315ee35f
F,Building control surveyor,J7114 88328 74562,1982-05-02,Kristen Cooper,Bu-baf03ba5
F,Sales executive,9727-82-3770,1925-10-21,Jasmine Ramsey,Sa-c80437dd
F,"Scientist, product/process development",509904-931,1928-01-01,Kayla Miller,Sc-d2f23592
M,Sport and exercise psychologist,991769258,1915-06-14,Jake Roberts,Sp-662e4f22
F,Contracting civil engineer,W90-470-764,1991-09-21,Breanna Faulkner,Co-e2f705a8
M,Quarry manager,H86685713,1920-02-05,Craig Martin,Qu-6aeb2006
F,Chief Strategy Officer,0369914G,2010-12-28,Sheila Young PhD,Ch-b56a05de
M,Broadcast engineer,115-66-6567,1936-04-01,Mark Williams,Br-b5c784da
M,Records manager,O-985-745-418-493,1962-07-28,James Avila,Re-8d702bf7
F,Charity fundraiser,Y-484-570-893-808,2003-06-20,Amy Harris,Ch-98965d2d
F,Restaurant manager,Q160223732680,2021-10-01,Jaclyn Ali,Re-de9d83de
M,Immigration officer,Z210-2452-6102-09,2005-10-31,Kyle Mccarthy,Im-c1eeeed1
F,Civil Service administrator,064HC7315,1951-11-15,Whitney Patel,Ci-711f11c1
