gender,licensenumber,birthday,name,job,epid
M,DK778960,1926-01-27,Clifford Villanueva,Aid worker,Ai-51345818
F,8502-14-5731,1975-10-23,Mackenzie Burgess,"Designer, jewellery",De-1e0bb11c
F,907YI3120,1924-03-14,Glenda Johnson,Network engineer,Ne-ebf54863
M,U1445502,1964-10-04,Matthew Lee,Paramedic,Pa-e6b15b61
M,N752979959510,1952-06-18,Michael Lee,"Research officer, political party",Re-7803d35c
M,A05-49-5498,1989-07-16,Kevin Smith,Plant breeder/geneticist,Pl-d67b3603
M,7038913Q,2013-11-07,Theodore Smith,Engineering geologist,En-bb0ddd76
M,K74-25-6996,2001-11-18,Christian Lamb,Dancer,Da-65840401
F,8290312H,1972-08-16,Gail Garcia,Trading standards officer,Tr-72601c27
F,R006-3822-5782,1937-10-27,Cheryl Sanchez,"Lecturer, further education",Le-8b3166a5
M,944454001,2007-07-15,William Burgess,Multimedia programmer,Mu-71b6bb34
F,1030518494113,2015-03-08,Sandra Schultz,Data scientist,Da-30d668ad
M,I417969957885,2016-12-18,Ronald Hinton,Claims inspector/assessor,Cl-246dad18
F,627460811,1931-01-15,Ashley Russell,Mental health nurse,Me-651a26ae
M,R345-7144-6841,1913-12-22,Rodney Mays,"Editor, magazine features",Ed-51ab1422
F,WDL1PUDUPKB7,2023-04-21,Ashlee Woodard,Media buyer,Me-0a2081a2
F,D049-9164-0019,1939-07-02,Michaela Thomas,Psychotherapist,Ps-83412610
M,R754-7322-0530-28,1957-08-20,Cody Pierce,Dealer,De-5de28220
M,V73375907,1993-01-03,Wayne Jefferson,Community pharmacist,Co-39f5713b
F,973510377,1984-04-04,Connie Gonzalez,Advertising account planner,Ad-af2b0335
F,94154180,2010-05-14,Whitney Taylor,Trading standards officer,Tr-09b180df
F,N262-3112-4917,1970-07-05,Connie Hall,Dealer,De-1b0c7d81
M,D89045056,1974-02-01,Christopher Floyd,Armed forces training and education officer,Ar-e9f2ba02
M,H327-937-14-321-3,1917-03-30,Scott Lang,Ergonomist,Er-bfb98134
F,804-43-6405,1936-12-07,Jacqueline Kirby,Tourism officer,To-675254fe
F,W36-138-538,1942-09-29,Nicole Matthews,Special educational needs teacher,Sp-6c12a426
M,0347370624119,1922-09-12,Robert Moran,Publishing rights manager,Pu-8f8034ef
F,K89-88-5065,1921-05-31,Sara Lowery,Geographical information systems officer,Ge-7bfff6b4
M,3969948,1955-09-29,Brett Meadows,Chartered management accountant,Ch-19eb8e4f
M,47917205,2006-06-24,John Baldwin,Economist,Ec-f13cc90f
M,H098196,1909-10-11,Gregory Kelly,Amenity horticulturist,Am-507a3333
M,MMA-53-6240,1919-08-17,Micheal Sexton,Geophysicist/field seismologist,Ge-19b371f2
F,Z985-410-62-677-6,1994-06-13,Samantha Cardenas,Newspaper journalist,Ne-8a9761d1
M,F 503 867 335 801,1948-08-16,John Hawkins,"Engineer, automotive",En-de2542c7
M,WDLIBQN2L5RX,1968-09-27,Nathaniel Perry,Medical illustrator,Me-774959ae
F,I0843 97573 89743,2014-10-09,Cheryl Brown,Rural practice surveyor,Ru-270a3b75
M,P-654-145-264-835,2014-01-05,Roger Webb,Farm manager,Fa-be573b72
F,I9797818,1972-07-26,Jamie Dawson,Games developer,Ga-801582fd
M,840127758241,1987-06-16,Robert Baker,Operations geologist,Op-3ee46096
M,O978125813254,1915-04-23,Brandon Brown,"Psychologist, clinical",Ps-62acd3ef
F,WDL7PHNBIDL8,1942-07-06,Kim Hopkins,Counselling psychologist,Co-836af6c7
M,589 327 791,1928-11-05,Tony Henderson,Homeopath,Ho-1c7ca82a
F,D128-679-81-643-0,2009-06-21,Rebecca Bowers,Cartographer,Ca-12eb6a98
M,YEK-25-5353,1925-05-08,James Morrison,Water engineer,Wa-f2cd2222
F,Z0995 60329 93920,1940-11-02,Kimberly Massey,Quality manager,Qu-adde2644
M,FYDQJET807TP,1983-02-06,Mr. Richard Kim MD,Social researcher,So-9874b857
M,E428-370-20-922-7,2018-09-25,Brian Burke,Economist,Ec-68e4d767
F,12IIU77121,1979-01-15,Deborah Santos,"Surveyor, quantity",Su-6af02364
F,O5508150,1934-03-04,Maria Campbell,Energy engineer,En-1b380269
F,487GS7212,1995-12-14,Michelle Miller,Learning mentor,Le-f906a654
