name,licensenumber,birthday,epid,gender,job
Leah Roberts,J414-6428-6688,1934-05-14,Ph-9a4339a5,F,"Pharmacist, community"
Johnny Heath,K07-07-7252,1989-01-12,Ho-756968b2,M,Hospital pharmacist
Dave Vazquez,458742704411,1969-01-15,Wa-750b9681,M,Warden/ranger
George Lawrence,RU578387,1986-05-10,An-eae900e6,M,Animal technologist
Stephen Travis,8279703,2011-02-06,Nu-2143f10f,M,"Nurse, mental health"
Sarah Morton,0989967064112,2013-08-09,Pr-648f444d,F,Product/process development scientist
Michael Clark,38-907-0732,1953-01-13,He-9712ac76,M,Herpetologist
Thomas Lewis,048199687028,1958-10-30,Th-253d017e,M,Theatre stage manager
Amanda Garza,R-119-734-635-779,1983-08-27,As-ffc874ef,F,Associate Professor
Justin Smith,482GC4584,1958-02-20,Le-395eed9f,M,Leisure centre manager
Daisy Allen,PF544742B,1969-04-17,Hi-b14c8f4d,F,Historic buildings inspector/conservation officer
Kendra Garcia,933646266,1951-09-01,Ge-637e045e,F,"Geologist, wellsite"
Kevin Edwards,11MQY92165,2006-07-24,Th-f2d93e55,M,Theatre manager
Carmen Sexton,U86-31-8657,1928-07-02,Pr-ee46747c,F,Product/process development scientist
Christopher Austin,N121-9705-5597,2011-06-21,Br-809c5e22,M,Broadcast presenter
Matthew Ware,941479254,2022-09-18,Me-56bbe778,M,Medical laboratory scientific officer
Lydia Shelton,651235966,1922-09-19,Su-882508c4,F,"Surveyor, insurance"
Henry Young,30788090,1967-12-05,En-b86997e2,M,English as a foreign language teacher
Jennifer Dixon,S651-0768-1519-59,1987-02-22,La-acc0aaca,F,Land
Rebecca Ritter,7244967,1909-02-06,Oc-d59fe863,F,Occupational hygienist
Michelle Fisher,947527168,1920-01-03,En-2cda86a7,F,"Engineer, automotive"
Jason Johnson,655614454145,1915-11-02,Ne-f34d58d9,M,Network engineer
Jeffrey Burnett,0967425314113,1977-03-14,Pr-c068e0cf,M,Press photographer
Erik Leblanc,785KB5377,1965-02-27,En-313074f1,M,"Engineer, agricultural"
Randall Gutierrez,244 487 338,1933-06-23,Pa-eb9c8443,M,Patent attorney
Patrick Wilson,8312210N,1993-05-08,Me-a131a862,M,Mechanical engineer
Michael Lozano,22763153,1990-11-19,Ch-82c9569a,M,Chartered legal executive (England and Wales)
Destiny Allen,A789-8220-8239,2008-11-23,Tr-dfa8930c,F,Transport planner
Jerome Sanders,7353009,1994-10-26,Tr-202f89b4,M,Travel agency manager
Caitlin Hoffman,K18-18-1350,1968-02-25,Wa-a1d1bced,F,Warehouse manager
Luis Sloan,838QJ4894,1921-04-23,Fa-ae2fe718,M,Facilities manager
Erica Jones,10OXZ80312,2007-03-18,Sc-f176a952,F,"Scientist, audiological"
Nicole Rodriguez,09PVB87016,1937-02-24,Tr-6c4d543a,F,Trade mark attorney
Veronica Long,T6359165,2011-12-22,Ai-5fb1aad9,F,Aid worker
Katelyn Zamora,967803-919,1909-03-16,Sy-c6c2192b,F,Systems developer
Richard Martin,0296825254130,2000-04-21,Ex-8a13add7,M,Exercise physiologist
Alan Hernandez,683 474 807,1948-08-11,Le-678ce50b,M,"Lecturer, higher education"
Erika Gomez,918768100,1978-02-26,Pr-8b5e4762,F,Probation officer
Samuel Gonzalez Jr.,AO***VZ147JT,1910-10-17,In-ebaf4fbf,M,Interpreter
Danny Higgins,Z512-086-59-028-7,1998-09-09,Co-9e52f242,M,"Conservator, museum/gallery"
William Williams,186-81-9253,2008-01-18,En-07d2e153,M,"Engineer, site"
Louis Kim,Z9793902,1933-03-15,Op-77d93581,M,Operational investment banker
Madison Armstrong,BUV**KU851B4,1985-04-19,An-cdcffd98,F,Animal technologist
Jeffrey Stokes,19-293-1063,1934-08-20,Fu-d44594a8,M,Furniture designer
Anthony Miller,MX925920,1971-06-03,Ar-a0bac313,M,Art therapist
David Johnson,Z430330041,1931-04-30,Fo-1d7b6640,M,Forensic scientist
Tonya Jones,25 977 131,1961-10-21,De-1b3faed2,F,"Designer, ceramics/pottery"
David Thomas,YS057366,1997-05-12,Mu-741f8bbc,M,Musician
Misty Martin,06 787 429,1994-01-14,Oc-da872e8c,F,Occupational therapist
Jacob Foster,M41460665,1926-04-29,Th-312b196a,M,"Therapist, occupational"
