licensenumber,name,epid,job,gender,birthday
VFA-87-5505,Thomas Sullivan,Wa-912e9f64,Warehouse manager,M,1922-07-03
S 317 959 355 970,Steven Church,An-e532a31f,Animal technologist,M,1968-11-09
Z545-3574-1065,Julia Salazar,En-a65437f3,"Engineer, manufacturing systems",F,2021-12-20
AHQ-17-5188,Richard Sanchez,Do-c0cb1b41,"Doctor, general practice",M,1919-02-09
4123438Z,Julie Wright,Fi-0703255e,Financial planner,F,1985-04-11
Y977-019-15-258-1,Sarah Peterson,Jo-61c7b7c2,"Journalist, newspaper",F,1917-02-16
066375320348,Tony Gross,Mi-500653be,Minerals surveyor,M,1961-07-17
0589719644128,Christopher Perez,Te-1b91dc85,"Teacher, primary school",M,1947-08-06
04FPF19255,Michael Becker,Re-3cc660f4,Research scientist (physical sciences),M,1982-07-11
WDLVPXXMGE6P,Dawn Heath,Ad-04ee7e06,"Administrator, Civil Service",F,1920-10-17
S7976 29072 42515,Brenda Berry,Th-c4a6178b,"Therapist, nutritional",F,1910-04-10
46890264,Rick Drake,Ps-0137af51,Psychotherapist,M,1908-11-15
Y61-05-2564,Kevin Price,En-7d0cba2f,"Engineer, control and instrumentation",M,1992-04-08
729432-048,Randall Myers,Ps-3c4f73b1,"Psychologist, forensic",M,2022-05-07
N0774 82400 08648,Brittney Dean,Fi-5c2498b9,Fitness centre manager,F,1939-08-31
194JB9410,Carol Mcintyre,Ho-ba92a66f,Homeopath,F,1910-09-12
K73-75-4985,Evan Harrison,Re-a6c75a2d,Restaurant manager,M,1993-09-27
7068502G,Taylor Jones,Re-58faca7a,"Research officer, government",M,1942-02-19
I894982279,Latasha Brown,Ps-448c4c29,"Psychologist, clinical",F,2000-12-15
SHH-91-2692,Jessica Villa,Ap-3e299d00,Applications developer,F,1907-11-29
BH729388,Cindy Weiss,Vo-def88d2b,Volunteer coordinator,F,1979-10-09
E054356569,Nancy Henry PhD,IT-e43521fe,IT sales professional,F,1951-07-30
I17-48-6108,Amanda Ellis,Ad-010e9692,"Administrator, local government",F,1984-06-01
907TJ4698,Melvin Bell,Ba-994ee758,Barrister,M,1955-10-20
U597-9455-3391,Natasha Moss,Bu-d72d23ae,"Buyer, industrial",F,1995-12-04
L59-342-668,Andre Barber,Pa-e98aba59,Pathologist,M,1983-08-02
0903082,Anthony Simpson,De-ee9de724,Dentist,M,2003-05-15
B12-74-9365,Shannon King,Fi-7b958a29,Financial controller,F,1962-12-06
0262918134109,Sean Wilkins,Bo-45f8304f,Bonds trader,M,1995-05-17
490637-746,Todd Rose,In-d748e1f7,Insurance broker,M,1922-09-03
55-479-3034,Brian Mcdonald,En-73f3fb30,"Engineer, drilling",M,1966-08-06
0841437804127,Scott Johnson,Ho-4e0ce2ba,"Horticulturist, commercial",M,1983-04-19
GU077010G,Rose Fuller,In-28cb8ae6,Insurance broker,F,1907-11-18
255 537 231,Jesse Obrien,Sc-d0f5a51d,"Scientist, product/process development",M,1997-04-12
K50-34-6778,Darryl Moore,To-f9ded2bd,Tourism officer,M,1989-02-14
IM992079,Tom Thompson,Sc-5217fe6c,"Scientist, audiological",M,2001-09-30
K746703,Nichole Perez,Ps-673d670c,"Psychologist, occupational",F,1924-01-25
1132454264123,Mr. Christopher Allen,Ex-86afb7ee,Exercise physiologist,M,1962-07-26
P279456635121,Diana Flynn,Cl-a697bbb4,Clinical biochemist,F,1949-10-25
H33250809,Daniel Johnson,Te-8f9b302a,"Teacher, early years/pre",M,1962-02-11
05XJI70194,Robert Woods,As-a4d7922f,Astronomer,M,1919-08-04
QCU-62-9371,Chelsea Johnson,Pr-9d1c142c,Press photographer,F,1960-11-27
K63-85-2750,Desiree Jordan,Cl-6020b7ed,Clothing/textile technologist,F,1956-04-27
Z031746181,Amanda Zuniga,Te-3bb7ba24,Teaching laboratory technician,F,1998-05-11
J-125-891-704-214,Fred Brown,Me-6c38822a,Media planner,M,2005-08-12
0581973424102,Brandon Sanders,En-3ec39f0d,"Engineer, civil (contracting)",M,1937-07-01
V155671058232,Stephanie Smith,Ge-b70b3204,Geophysical data processor,F,1963-11-10
L954916007,Angela Wilson,Pr-4e799f7d,Product manager,F,1912-01-03
G 854 710 186 306,Casey Sanchez,Ge-8d602f88,General practice doctor,F,1935-08-13
908702457,Jamie Dixon,Pr-4d4a5811,Primary school teacher,F,2011-10-17
