gender,job,licensenumber,epid,birthday,name
F,Film/video editor,06NRY35215,Fi-3377a111,1952-09-19,Andrea Lam
F,Advertising account planner,NV001508C,Ad-cd45a9c8,1934-07-27,Julia Sharp
F,Environmental consultant,S570-560-50-877-2,En-73720c59,1970-02-25,Taylor Moody
F,"Teacher, adult education",J310-4190-1182,Te-a09795f9,1944-02-16,Kathleen Lang
M,Structural engineer,440982432,St-cc31ed75,1970-01-23,John Henderson
M,Tourist information centre manager,0493499,To-4baf0c71,1993-07-21,Micheal Garner
F,Soil scientist,154-44-3292,So-1e1f778c,2010-08-12,Emily Carpenter
M,Engineering geologist,H27228391,En-4e9b1939,1977-10-26,Jason Myers
F,Fashion designer,930478-777,Fa-2a8bb37a,1924-01-09,Dawn Johnson
F,Race relations officer,50-903-2586,Ra-46104f47,2009-02-15,Rose Chung
M,"Radiographer, diagnostic",B942349452534,Ra-05cfa78d,1967-07-11,Melvin Kelly
M,"Investment banker, corporate",08RIX91304,In-0b0e712f,1910-08-29,Vincent Jones
M,Chiropodist,53 023 681,Ch-b2dcdbf1,1921-02-12,Gary Wilson
M,Television camera operator,D6113786,Te-8d6e7380,2023-03-23,Brian Erickson
F,"Exhibitions officer, museum/gallery",W324-657-52-920-9,Ex-e8d64ddb,1928-09-23,Allison Spence
M,Heritage manager,O529694412,He-493c1889,1970-12-28,Brandon Caldwell
F,Ophthalmologist,KYDRCCF215QS,Op-d6cbf4f6,2016-09-01,Jessica Lewis
F,Community pharmacist,GY874339,Co-40985780,1968-04-06,Jamie Drake
F,"Engineer, electronics",WDL6TKDZ8U4T,En-a1a8ffbe,1914-08-13,Mary Turner
M,Counsellor,10684850,Co-4e16dc42,1995-08-09,Ian Pratt
F,Film/video editor,JMXM*KF9331D,Fi-2875484f,2014-09-20,Dr. Shelley Wood
F,Youth worker,120 136 953,Yo-452e0b54,2022-12-02,Kimberly Cooper
F,Maintenance engineer,3723-77-1470,Ma-25181bd0,1920-02-15,Rebecca French
F,Engineering geologist,ONRZ*LS3435H,En-fc454f4e,1937-01-16,Laura Bautista
M,Agricultural engineer,562124177,Ag-c0967c3c,1992-10-13,Gregory French
F,Health promotion specialist,NW119544,He-fb37afd6,1952-07-03,Ashley Parker
F,Museum education officer,199261-036,Mu-8664dc8a,1985-07-28,Rebecca Smith
F,Haematologist,M 867 732 862 779,Ha-ebcdcdfe,1973-01-10,Andrea Larson
F,"Psychologist, educational",508795-677,Ps-00085d82,1992-08-25,Tara Hines
M,Chiropodist,BE346383,Ch-05ac885f,1923-07-14,Mr. Jeffrey Long DDS
M,Software engineer,X567-6484-8602-88,So-b0a8155d,1956-10-30,Raymond Carney
F,"Teacher, English as a foreign language",07VWV46052,Te-720a2075,1917-04-22,Jacqueline Johnson
F,Scientific laboratory technician,919229349,Sc-ec622f7c,1949-12-22,Dana Dean
M,Visual merchandiser,T 130 136 703 429,Vi-d81afc4d,1965-12-21,Sean Burch
M,Equality and diversity officer,66 073 876,Eq-0468ef5e,1913-04-07,Bryan Harper
F,Biomedical scientist,SP***KV554F3,Bi-b193d046,1965-02-16,Heidi Gilbert
F,Theme park manager,WDLS8QHRD4DU,Th-f805cbc5,1984-07-22,Lisa Evans
F,Dancer,613DG6650,Da-4c61c478,1968-05-05,Sharon Murray
M,Secretary/administrator,Q50-631-185,Se-58aebb61,1950-01-27,Justin Kelly
M,"Engineer, chemical",9638103,En-347a60e7,1915-10-15,Jason Williams
F,Primary school teacher,10OOX04119,Pr-25501f7b,1992-12-06,Christina Perez
M,Bonds trader,41-986-7079,Bo-d8c754a8,2001-03-28,Joel Mcmahon
M,Restaurant manager,NX409576W,Re-2d545130,1924-02-26,Kevin Dickerson
F,Software engineer,H567973,So-9d9f7d12,2007-09-15,Lori Cervantes
M,Therapeutic radiographer,T-207-051-022-627,Th-2d423a52,2012-02-29,Juan Smith
M,Metallurgist,M74-99-6117,Me-ee95118e,1961-06-11,Joseph Wilson
M,Chief Technology Officer,CAO-68-9103,Ch-07b6dd49,1996-09-13,Malik Johnson
M,Charity officer,61700831,Ch-7a1e536c,1983-08-30,Richard Vargas
M,"Production assistant, radio",64032089,Pr-aaafd93b,1989-04-09,Jason Giles
M,Financial adviser,F773-7039-2250,Fi-fb212b82,1949-07-31,Devin Ross
